heter	heter
vill
.
Men
i
alla
industrieländer
finns
det
såna
enkla
saker
som
inte
passa
bäst
för
mig
.
Tex
:
en
av
sveriges
största
problem
är
ensamma
människor
.
Jag
tycker
att
ensamheten
är
hemsk
,
därför
att
ungdomar
måste
ha
kontakt
med
varandra
.
Sen
kommer
drogsproblematiskt
för
ungdomar
i
Sverige
och
det
är
en
dålig
sak
som
man
blir
irriterad
på
.
I
Sverige
finns
också
många
ungdomar
som
tycker
om
att
ha
socialt
liv
vid
sidan
om
jobbet
.
Det
är
någonting
som
jag
nervös
på
.
Till
sist
ska
jag
skriva
lite
om
sjukdomare
som
är
en
av
världens
största
problem
.
Alla
är
rädd
för
Aids
cancer
och
något
annat
.
Om
detta
sjukdomare
fortsätta
,
ska
det
bli
en
katastrof
i
världen
.
Det
mycket
mer
att
säga
men
jag
ska
sluta
här
,
för
att
det
är
en
mycket
komplicerad
fråga
och
överallt
finns
posita
och
negativa
saker
.
Framför
mig
har
jag
en
famljesidan
av
Dagens
Nyheter
.
Hur
den
ser
ut
?
Om
jag
försöker
sammanfatta
,
det
kan
jag
säga
att
den
här
sidan
har
olika
saker
.
Man
får
se
bild
,
olika
typografier
,
och
andra
tekniker
som
är
typiskt
på
en
tidning
.
Familjesidan
av
DN
innehåller
gratulation
,
dödsfallet
,
födelsedagar
och
bröllopet
.
Sen
kan
man
se
att
det
står
korta
biografier
på
de
som
avled
,
men
man
kanske
behöver
betala
mer
.
I
mitt
hemland
ser
familjesidan
nästan
liknande
,
men
det
är
inte
vanligt
att
står
gratulationer
på
den
här
sidan
.
får
se
går
tänker
är
kan
ha
tror
är
kan
hitta
börja
ge
bör
säga
tycker
är
är
hade
fanns
klädde
kunde
visa
har
lever
kommer
tittar
kan
göra
kunde
kom
har
är
kan
vara
tror
kommer
få
ser
händer
måste
kan
kan
vara
har
kommer
födds
finns
måste
göras
blir
är
börja
tänke
ska
göra
föddes
få
är
måste
skötta
tänker
stopar
kan
byggas
fanns
